ID;tahun_lahir;Pendidikan;Status_pernikahan;Pendapatan;jumlah_anak;jumlah_remaja;tanggal_pendaftaran;recency;Spent_wine;Spent_buah;Spent_daging;Spent_ikan;Spent_emas
7503;1976;Graduation;Single;75825;0;0;12/10/2012;40;1032;105;779;137;51
10401;1976;2n Cycle;Together;26326;0;0;04/09/2013;12;1;0;5;0;9
1618;1965;Graduation;Together;56046;0;0;02/01/2013;9;577;0;64;0;51
3332;1985;Graduation;Single;29760;1;0;29/08/2012;87;64;4;68;7;17
2261;1969;Graduation;Married;26304;1;0;23/06/2013;5;4;1;5;2;4
5346;1973;2n Cycle;Married;23559;1;0;03/07/2013;87;25;5;19;7;23
4119;1963;Master;Together;38620;0;0;11/05/2013;56;112;17;44;34;89
535;1987;Graduation;Divorced;81361;0;0;25/02/2014;18;163;23;424;27;76
5268;1960;Graduation;Married;29440;1;1;11/08/2013;95;17;8;14;10;3
273;1970;Master;Married;36138;1;1;16/07/2013;48;130;0;16;0;5
4452;1957;Graduation;Single;50388;0;1;28/05/2014;3;292;6;37;0;34
8504;1973;Graduation;Married;79593;0;0;12/05/2014;70;350;60;568;110;145
771;1967;Graduation;Together;54178;0;1;21/01/2014;79;135;9;39;4;7
8996;1957;PhD;Married;;2;1;19/11/2012;4;230;42;192;49;53
9235;1957;Graduation;Single;;1;1;27/05/2014;45;7;0;8;2;1
5798;1973;Master;Together;;0;0;23/11/2013;87;445;37;359;98;18
11178;1972;Master;Single;42394;1;0;23/03/2014;69;15;2;10;0;4
2230;1970;PhD;Married;23626;1;0;24/05/2014;84;27;2;14;0;0
7516;1983;Graduation;Married;30096;1;0;22/05/2014;30;5;3;11;12;9
7247;1960;Graduation;Widow;47916;0;1;22/11/2012;72;505;0;26;0;75
11100;1972;Graduation;Divorced;51813;1;1;11/04/2013;37;51;2;7;0;2
4646;1951;2n Cycle;Married;78497;0;0;01/12/2013;44;207;26;447;75;223
3037;1983;PhD;Married;50150;0;0;20/06/2013;32;135;46;92;65;11
1473;1960;2n Cycle;Single;47823;0;1;23/07/2013;0;53;1;5;2;10
1016;1959;PhD;Single;34554;0;1;30/03/2014;43;41;1;6;2;5
4518;1979;Graduation;Together;85693;0;1;20/04/2013;59;386;172;183;185;111
9370;1945;PhD;Married;65846;0;0;17/05/2013;68;562;81;276;80;81
8908;1959;Graduation;Married;87195;0;0;08/05/2014;35;217;76;690;50;38
8373;1979;Basic;Together;24594;1;0;10/12/2013;94;1;3;6;10;9
7533;1964;Graduation;Married;49096;1;1;24/09/2013;15;144;1;32;2;7
2683;1969;Graduation;Married;52413;0;2;02/02/2013;56;295;106;271;75;65
3629;1978;Graduation;Single;38557;1;0;19/12/2012;17;76;3;31;4;27
10991;1960;Master;Married;89058;0;0;07/12/2012;18;454;194;106;31;43
5077;1979;Graduation;Together;77298;0;1;02/11/2013;46;425;115;292;23;79
7431;1991;PhD;Single;68126;0;0;10/11/2012;40;1332;17;311;23;86
3267;1963;Master;Together;57288;0;1;25/06/2014;27;527;0;21;0;60
999;1991;Graduation;Single;86037;0;0;02/01/2013;95;490;44;125;29;22
9215;1980;PhD;Married;43974;1;0;12/12/2012;19;378;0;101;0;72
2286;1962;Graduation;Single;50785;1;1;10/09/2013;27;64;1;21;0;27
1592;1970;Graduation;Married;90765;0;0;24/01/2014;25;547;99;812;151;33
367;1978;2n Cycle;Married;36550;1;0;19/02/2013;74;47;90;94;123;120
5234;1967;2n Cycle;Together;30753;1;1;11/07/2013;85;12;5;25;0;30
9862;1969;Graduation;Together;21918;1;0;14/11/2013;37;1;6;7;11;3
9805;1953;Master;Together;56129;0;1;20/06/2013;65;320;48;133;39;48
6205;1967;Master;Single;32557;1;0;24/02/2014;13;34;3;29;0;10
8442;1985;Master;Married;19510;2;0;04/09/2013;63;9;0;7;3;7
7386;1976;Graduation;Divorced;30992;1;0;22/04/2013;83;17;0;14;7;2
7215;1983;Graduation;Single;101970;0;0;12/03/2013;69;722;27;102;44;168
1491;1965;2n Cycle;Together;71488;0;0;18/02/2013;87;162;33;124;40;172
11071;1984;Graduation;Single;79607;0;0;21/04/2013;37;450;133;951;173;216
3381;1953;Master;Married;54348;1;1;08/06/2014;51;70;0;16;0;4
8268;1961;PhD;Married;;0;1;11/07/2013;23;352;0;27;10;15
11051;1956;PhD;Together;77376;1;1;10/05/2014;72;492;19;110;16;12
8026;1952;Graduation;Married;62998;0;1;30/09/2013;10;120;58;73;65;58
433;1958;Master;Alone;61331;1;1;10/03/2013;42;534;5;47;0;41
9597;1969;Graduation;Married;73448;0;0;10/02/2014;10;236;106;189;23;130
1295;1963;Graduation;Married;;0;1;11/08/2013;96;231;65;196;38;124
5290;1964;PhD;Married;41551;1;1;14/08/2013;51;220;0;33;3;23
1685;1967;PhD;Together;62981;0;0;17/03/2013;21;796;14;590;38;0
5342;1976;Basic;Divorced;9548;1;0;08/08/2012;31;0;1;3;10;9
9579;1959;PhD;Married;33762;2;1;07/07/2013;61;53;1;34;2;16
7660;1973;PhD;Alone;35860;1;1;19/05/2014;37;15;0;8;4;20
1461;1965;PhD;Divorced;36921;1;1;28/07/2013;74;17;1;12;3;4
821;1992;Master;Single;92859;0;0;19/10/2012;46;962;61;921;52;20
11084;1976;Master;Together;65104;0;1;14/11/2013;4;738;0;232;13;50
8690;1962;Graduation;Married;86111;0;0;19/04/2013;73;399;28;756;36;126
2937;1974;PhD;Single;68352;0;1;28/08/2013;47;614;16;132;43;33
9701;1988;Graduation;Together;41883;1;0;19/03/2013;13;32;34;41;73;116
9949;1976;Graduation;Married;59809;0;2;18/10/2012;36;598;16;141;32;49
10837;1975;Graduation;Married;23957;1;0;28/10/2012;47;2;1;18;20;16
3120;1981;Graduation;Together;38547;1;0;28/08/2013;49;6;1;10;0;4
5885;1973;2n Cycle;Married;35688;2;1;22/08/2012;94;73;3;90;12;32
4050;1966;Master;Married;49605;0;0;21/06/2014;65;42;16;29;12;8
3830;1953;Master;Married;59354;0;2;24/04/2014;59;295;21;78;39;13
7987;1969;Graduation;Married;65747;0;1;07/03/2014;96;346;17;48;23;13
7798;1972;2n Cycle;Together;46344;0;1;14/12/2012;28;233;20;57;8;91
92;1988;Graduation;Alone;34176;1;0;12/05/2014;12;5;7;24;19;20
7055;1952;PhD;Together;61010;0;1;09/10/2012;57;888;0;57;0;76
10240;1949;Graduation;Together;69372;0;0;19/02/2013;10;997;26;269;34;42
3025;1958;Graduation;Single;49967;0;1;08/07/2013;4;212;6;69;4;3
9283;1978;Graduation;Single;60199;1;2;12/09/2013;49;8;1;7;2;0
9970;1977;Graduation;Together;55375;0;1;17/10/2013;3;42;11;57;10;14
2730;1955;Graduation;Single;80317;0;0;20/08/2013;64;536;11;387;149;57
2795;1958;Master;Single;30523;2;1;01/07/2013;0;5;0;3;0;5
9260;1945;PhD;Married;70356;0;0;05/11/2012;20;1349;16;249;43;33
8182;1984;Graduation;Married;23228;1;0;05/01/2014;91;53;3;49;7;5
10095;1975;PhD;Divorced;74165;0;0;01/05/2013;9;1001;12;240;16;12
8475;1973;PhD;Married;157243;0;1;01/03/2014;98;20;2;1582;1;1
4370;1966;Graduation;Together;43482;2;1;13/11/2013;83;18;1;32;6;28
10573;1953;Graduation;Divorced;62551;0;0;18/11/2013;27;125;16;98;134;27
3712;1959;Graduation;Divorced;52332;0;0;28/08/2013;63;212;5;33;7;2
6637;1988;Graduation;Single;66951;0;0;02/11/2013;46;277;162;305;173;124
3152;1957;Graduation;Together;26091;1;1;25/02/2014;84;15;10;19;8;20
5610;1965;Graduation;Together;33456;1;1;21/04/2014;58;7;3;10;8;7
6460;1982;Graduation;Married;28718;1;0;13/07/2013;78;12;4;6;11;16
1349;1970;Graduation;Married;50447;2;0;21/04/2014;4;85;7;24;2;27
1880;1959;PhD;Together;53537;1;1;30/01/2014;17;81;0;6;0;6
641;1967;Graduation;Single;52074;0;1;04/04/2014;77;59;0;12;0;48
8717;1975;PhD;Married;80427;0;1;12/09/2012;56;1149;71;449;69;26
10314;1948;PhD;Married;83837;0;0;16/12/2012;79;847;66;119;86;111
10854;1970;PhD;Married;38853;1;1;23/05/2014;90;29;0;14;0;2
10492;1959;Graduation;Together;38285;2;1;24/06/2014;96;2;0;5;2;1
6935;1951;2n Cycle;Married;78497;0;0;01/12/2013;44;207;26;447;75;223
7698;1976;PhD;Married;51650;0;1;11/05/2014;81;152;3;22;2;7
3559;1988;2n Cycle;Married;16248;1;0;10/05/2014;77;12;11;10;3;9
10562;1946;Master;Married;66835;0;0;28/09/2013;21;620;26;195;34;141
10796;1984;Master;Married;30477;1;0;22/01/2014;16;47;1;6;0;12
2563;1961;Basic;Married;28249;0;0;15/06/2014;80;1;9;7;2;10
3518;1983;Graduation;Married;25271;1;0;05/12/2012;45;10;1;18;10;7
5823;1970;PhD;Single;32303;0;1;08/03/2014;63;35;0;2;0;2
3934;1966;Graduation;Married;61286;0;1;02/08/2013;34;356;0;107;19;117
6982;1976;Graduation;Married;74068;0;0;19/03/2013;14;783;30;537;140;15
6431;1964;PhD;Married;45759;1;1;23/02/2013;13;42;1;18;3;4
9733;1978;Basic;Together;24882;1;0;09/09/2012;52;1;4;10;29;36
5602;1989;PhD;Together;66973;0;0;17/05/2013;98;466;22;432;147;102
7829;1900;2n Cycle;Divorced;36640;1;0;26/09/2013;99;15;6;8;7;25
1324;1988;Graduation;Married;38872;1;0;30/05/2013;93;23;3;21;3;22
326;1973;Graduation;Married;51148;1;1;18/02/2013;38;235;6;45;8;12
7224;1977;Graduation;Married;31353;1;1;29/12/2013;24;10;0;10;3;7
6999;1980;Master;Married;69661;0;0;13/05/2014;80;656;16;106;32;8
9938;1954;Graduation;Married;80067;0;0;19/09/2013;82;519;17;813;27;51
6422;1954;Graduation;Married;86718;0;0;17/01/2013;20;344;189;482;50;172
3182;1973;PhD;Single;46854;1;1;31/03/2014;81;96;1;79;7;79
7300;1952;Graduation;Divorced;69142;0;1;29/06/2014;50;448;4;34;6;39
10424;1968;Graduation;Single;75922;0;0;09/12/2013;60;265;138;553;224;92
8727;1978;Graduation;Divorced;63693;0;1;14/10/2013;63;587;43;337;42;54
2798;1977;PhD;Together;102160;0;0;02/11/2012;54;763;29;138;76;58
1030;1965;PhD;Single;40637;1;1;17/07/2013;72;22;0;13;0;3
624;1984;Master;Single;18890;0;0;10/11/2012;5;6;4;1;7;15
5176;1988;Graduation;Together;29604;1;0;08/12/2013;88;7;6;13;7;14
5552;1963;Master;Divorced;48721;1;1;13/05/2013;50;81;18;113;47;21
868;1966;Graduation;Married;44794;0;1;08/06/2014;99;54;0;7;0;4
380;1954;Graduation;Divorced;64497;0;1;10/09/2012;17;1170;48;320;42;192
2677;1956;Graduation;Together;46097;0;1;31/03/2013;11;72;24;68;65;8
6521;1954;Graduation;Together;77972;0;0;18/03/2014;18;613;22;319;33;12
6927;1968;PhD;Married;44377;1;1;05/10/2012;70;224;0;30;0;10
2877;1974;Master;Together;46014;1;1;21/01/2013;21;410;0;59;19;44
0;1985;Graduation;Married;70951;0;0;04/05/2013;66;239;10;554;254;54
1584;1977;Graduation;Married;41443;1;0;01/04/2014;79;171;7;171;25;89
7264;1978;2n Cycle;Single;52195;2;1;12/05/2014;2;12;0;4;0;1
6274;1948;Master;Married;83790;0;0;15/11/2013;81;1076;16;417;42;16
1377;1954;Master;Widow;44551;0;1;31/08/2013;24;182;4;33;0;66
454;1980;Graduation;Together;69508;1;0;14/11/2012;48;824;32;162;42;43
1755;1988;2n Cycle;Together;45204;1;0;11/04/2014;93;30;11;25;29;18
2075;1969;Graduation;Married;72460;0;0;14/11/2013;56;377;10;540;80;10
4785;1970;PhD;Together;77622;0;2;14/04/2014;3;520;7;154;19;14
9076;1980;PhD;Married;30732;1;0;05/01/2013;44;155;1;25;0;3
7079;1962;Graduation;Divorced;63887;0;1;08/09/2012;38;897;23;207;15;92
4653;1978;Graduation;Together;42011;1;0;26/03/2013;46;131;0;16;2;39
7375;1976;Graduation;Together;51369;0;1;25/10/2012;84;297;7;79;0;182
709;1952;Graduation;Divorced;51537;0;1;09/12/2012;27;787;20;204;0;92
460;1972;PhD;Married;79930;0;0;08/08/2012;72;792;86;740;67;17
3726;1986;PhD;Together;34320;1;0;16/02/2014;66;4;1;9;3;0
6798;1966;Graduation;Single;37070;1;1;20/03/2013;30;231;7;137;4;39
5341;1962;2n Cycle;Divorced;81975;0;1;05/01/2013;2;983;76;184;180;27
1606;1971;Graduation;Together;38590;1;0;15/05/2013;65;3;1;8;4;3
9617;1951;Graduation;Single;15033;0;0;16/04/2014;37;0;4;5;6;4
3233;1965;PhD;Married;62745;0;1;23/03/2013;89;562;21;464;28;32
89;1975;2n Cycle;Married;22212;1;0;09/12/2013;49;5;9;20;6;21
2936;1982;Master;Together;23661;1;0;04/12/2013;46;18;0;4;0;1
9449;1958;PhD;Single;79761;0;1;04/10/2013;32;415;5;124;15;11
7297;1973;Graduation;Single;7500;1;0;26/12/2013;54;5;3;10;12;20
11004;1893;2n Cycle;Single;60182;0;1;17/05/2014;23;8;0;5;7;2
313;1968;Graduation;Widow;73455;0;0;28/10/2013;98;901;61;757;186;20
9940;1958;Graduation;Together;64961;0;1;23/12/2012;97;382;114;276;75;38
10735;1971;Graduation;Single;22804;1;0;31/07/2013;75;14;1;7;2;1
9529;1990;Graduation;Married;73687;0;0;28/11/2013;8;559;153;503;218;181
6439;1958;Graduation;Married;61074;0;1;17/08/2012;37;789;0;133;0;152
7411;1964;PhD;Married;31686;1;1;05/06/2014;31;11;0;5;0;1
2176;1972;Graduation;Married;80134;1;0;20/05/2013;40;1218;16;272;104;80
9265;1953;Graduation;Married;75027;0;1;09/01/2013;74;925;64;179;133;77
8867;1988;PhD;Married;67546;0;0;31/08/2012;90;864;134;768;150;172
8932;1969;Master;Together;65176;0;1;29/10/2012;57;960;28;183;220;70
10236;1975;Master;Single;31160;1;0;16/09/2013;59;16;3;25;6;13
6340;1985;Graduation;Single;29938;1;0;27/10/2013;52;3;3;7;0;11
10089;1974;Graduation;Divorced;102692;0;0;05/04/2013;5;168;148;444;32;148
2227;1958;2n Cycle;Together;26490;0;0;22/09/2012;92;45;47;52;21;25
10992;1967;Graduation;Together;75702;1;1;29/08/2012;77;650;28;353;45;30
5304;1974;PhD;Single;30899;1;0;13/10/2012;35;24;0;8;0;1
309;1961;PhD;Together;63342;0;1;16/10/2012;48;918;21;118;13;21
3406;1964;Graduation;Single;45989;0;1;22/10/2012;97;138;33;87;28;12
2661;1964;Graduation;Single;18701;1;1;04/06/2013;95;12;4;2;10;10
3153;1957;PhD;Single;40737;2;1;08/12/2013;24;11;0;4;0;2
10264;1979;Graduation;Divorced;15287;1;0;10/10/2012;60;1;2;8;4;13
1184;1968;PhD;Divorced;69674;0;2;22/05/2013;46;554;41;215;11;24
4200;1970;Master;Married;44159;1;0;17/06/2014;85;167;2;62;24;7
9396;1978;PhD;Married;37717;1;0;23/11/2012;31;9;0;6;4;5
2387;1952;Master;Together;43776;1;1;03/02/2013;9;177;2;71;3;20
6690;1966;Master;Married;38179;1;1;14/03/2013;30;38;4;22;4;20
1225;1963;Graduation;Married;80124;0;0;26/06/2014;47;483;84;398;205;241
9703;1970;PhD;Married;38097;1;1;15/10/2012;70;77;2;35;0;69
291;1970;Graduation;Married;72940;0;0;19/06/2013;13;182;74;298;162;116
4557;1970;Graduation;Together;22070;1;0;04/10/2013;11;10;7;19;8;21
2379;1953;Graduation;Single;69267;0;0;22/09/2012;31;778;44;499;95;146
5726;1983;Master;Single;31788;1;0;20/03/2014;15;16;7;23;0;6
3066;1975;PhD;Together;61905;0;1;04/02/2014;2;167;0;43;6;13
6336;1960;Graduation;Married;29315;1;1;06/04/2014;55;13;2;14;8;4
10967;1963;Graduation;Divorced;33378;1;1;06/02/2013;38;33;6;40;3;10
2304;1963;PhD;Together;66313;0;1;16/09/2013;86;625;7;99;10;7
3445;1956;Graduation;Single;60714;0;0;17/01/2013;56;216;162;224;101;162
7828;1981;Master;Together;77882;0;0;30/04/2014;29;68;129;396;188;15
3762;1986;PhD;Single;69867;0;0;02/04/2013;30;196;0;512;33;54
4391;1968;Master;Divorced;63841;0;1;21/04/2013;64;635;15;100;20;131
4669;1981;Basic;Married;24480;1;0;11/02/2013;46;4;19;9;28;17
10144;1976;Graduation;Together;51369;0;1;25/10/2012;84;297;7;79;0;182
8652;1946;Graduation;Together;37760;0;0;31/08/2012;20;84;5;38;150;28
1672;1974;PhD;Together;65640;0;1;01/03/2014;74;204;7;149;20;66
8962;1975;Master;Married;44319;1;1;17/04/2014;18;26;0;8;0;3
9974;1974;Graduation;Married;30631;1;0;12/07/2013;75;15;6;20;4;20
10983;1952;Graduation;Together;75278;0;0;29/01/2013;17;304;98;230;150;74
8148;1956;Master;Together;50898;1;1;08/01/2013;88;285;28;242;55;135
10102;1966;Graduation;Widow;79946;0;0;12/05/2014;19;395;183;565;166;28
4697;1949;Master;Divorced;35416;0;0;13/06/2013;62;248;3;81;4;51
9262;1984;2n Cycle;Together;32414;0;0;04/07/2013;11;20;6;5;0;12
7254;1969;Graduation;Together;38361;1;0;27/12/2013;74;39;0;56;20;14
4543;1980;Graduation;Married;82497;0;0;31/10/2012;32;777;129;573;216;203
4927;1971;Graduation;Together;16626;2;0;15/01/2014;76;8;3;22;21;13
10451;1965;Graduation;Together;29672;1;1;12/03/2013;6;9;1;3;0;8
2926;1952;Master;Together;55951;0;1;23/08/2012;62;1241;0;80;0;40
2874;1988;2n Cycle;Divorced;35388;1;0;07/03/2013;20;6;4;7;4;8
9738;1986;Master;Together;42386;1;0;13/01/2013;43;65;4;16;0;11
7119;1982;Graduation;Single;68627;0;0;12/01/2013;45;395;15;263;60;38
3924;1965;PhD;Divorced;57912;0;1;17/03/2014;34;801;0;80;0;35
5827;1958;Graduation;Divorced;35246;1;1;16/04/2014;53;36;0;12;2;10
5596;1956;2n Cycle;Together;58821;0;1;12/10/2013;44;513;14;154;19;28
10812;1978;PhD;Married;46377;1;0;01/03/2014;89;37;0;46;4;0
1717;1988;Graduation;Single;39747;1;0;13/04/2014;43;80;15;93;20;52
9491;1984;Graduation;Together;23976;1;0;27/12/2013;68;14;1;21;2;25
9274;1961;Master;Married;80950;0;0;28/03/2013;44;525;147;112;219;63
6609;1966;Graduation;Widow;27038;0;0;18/09/2012;64;1;26;25;17;15
6963;1947;Graduation;Single;77457;0;0;05/03/2014;85;675;11;400;15;11
4440;1964;Master;Married;64100;0;1;10/09/2013;93;509;0;27;0;10
1379;1992;Master;Together;42670;0;0;27/04/2013;12;154;2;46;20;15
10032;1976;Graduation;Divorced;12571;1;0;18/01/2014;86;3;5;14;2;17
2826;1967;Graduation;Married;22574;2;1;28/10/2013;28;25;0;8;2;2
2437;1989;Graduation;Married;;0;0;03/06/2013;69;861;138;461;60;61
6320;1976;Master;Single;70893;0;0;06/02/2013;42;768;44;561;77;14
3050;1966;Graduation;Married;54198;1;1;17/12/2013;13;185;0;28;3;17
231;1956;Master;Together;28839;1;1;11/03/2014;86;24;0;7;0;1
2392;1972;Graduation;Married;40321;1;1;29/07/2013;59;44;4;21;6;27
9478;1985;Graduation;Single;66503;1;0;14/08/2012;30;91;64;128;65;50
113;1951;Graduation;Married;30833;1;1;16/07/2013;33;11;0;7;3;6
2863;1970;Graduation;Single;;1;2;23/08/2013;67;738;20;172;52;20
1802;1971;Graduation;Married;64795;0;1;17/01/2013;23;412;5;119;38;77
520;1974;Graduation;Married;34421;1;0;01/07/2013;81;3;3;7;6;9
8275;1965;PhD;Divorced;47025;1;1;09/02/2014;6;16;0;3;0;1
9750;1961;PhD;Divorced;64325;0;1;07/02/2013;41;731;60;353;78;73
2607;1953;Graduation;Single;40464;0;1;11/01/2013;78;424;17;118;7;41
7214;1957;Graduation;Married;62187;0;0;05/07/2013;49;792;0;275;45;126
5835;1976;PhD;Divorced;14849;1;0;02/07/2013;39;21;2;28;3;9
3896;1984;Graduation;Married;27255;1;0;07/11/2013;3;22;1;11;0;2
10350;1950;PhD;Married;54432;2;1;09/05/2013;37;33;0;5;0;0
7786;1986;PhD;Single;29999;1;0;13/02/2013;22;68;7;59;10;11
2861;1983;Graduation;Single;24072;1;0;16/04/2013;79;9;1;6;3;4
663;1989;PhD;Single;33996;0;0;11/09/2013;46;40;2;15;8;6
10675;1956;PhD;Married;66334;0;1;03/04/2013;82;909;11;218;0;23
2521;1971;Master;Married;35178;1;0;10/01/2013;10;23;1;13;2;18
9592;1983;Graduation;Together;22010;1;0;30/06/2013;51;11;2;9;3;8
10151;1960;Graduation;Divorced;62204;0;2;12/09/2012;38;317;46;247;151;139
7381;1968;Graduation;Divorced;75693;0;0;06/12/2012;10;797;153;293;72;30
4099;1972;Graduation;Married;30675;1;0;12/11/2012;14;10;2;16;11;21
9560;1965;Graduation;Together;83003;0;0;03/03/2013;18;856;61;570;40;122
1150;1899;PhD;Together;83532;0;0;26/09/2013;36;755;144;562;104;224
10172;1988;Graduation;Single;68655;0;0;10/08/2012;95;456;19;832;75;38
11191;1986;Graduation;Divorced;41411;0;0;07/12/2013;11;37;32;38;11;18
9707;1969;PhD;Married;55212;0;1;23/11/2012;65;1103;0;45;0;34
6245;1950;PhD;Together;59292;0;1;13/06/2013;71;378;14;68;19;14
8234;1973;Basic;Together;27190;1;0;15/08/2013;13;1;6;7;0;3
1411;1952;Graduation;Divorced;82623;0;0;10/11/2013;58;204;34;204;172;173
8553;1965;Graduation;Married;44300;1;1;23/06/2013;65;30;0;9;0;3
